#
#                             DATA
#                                   
#
#
# TIME      VALUE    FILTERED 
#-------------------------------
1.42       5.81754       5.81754
1.43       5.25779       5.25779
1.44       4.68125       4.68125
1.45       4.09017       4.09017
1.46       3.4869       3.4869
1.47       2.87381       2.87381
1.48       2.25333       2.25333
1.49       1.62791       1.62791
1.5       1       1
1.51       0.372095       0.372095
1.52       -0.253332       -0.253332
1.53       -0.873813       -0.873813
1.54       -1.4869       -1.4869
1.55       -2.09017       -2.09017
1.56       -2.68125       -2.68125
1.57       -3.25779       -3.25779
1.58       -3.81754       -3.81754
1.59       -4.35827       -4.35827
1.6       -4.87785       -4.87785
1.61       -5.37424       -5.37424
1.62       -5.84547       -5.84547
1.63       -6.28969       -6.28969
1.64       -6.70513       -6.70513
1.65       -7.09017       -7.09017
1.66       -7.44328       -7.44328
1.67       -7.76307       -7.76307
1.68       -8.04827       -8.04827
1.69       -8.29776       -8.29776
1.7       -8.51057       -8.51057
1.71       -8.68583       -8.68583
1.72       -8.82287       -8.82287
1.73       -26.7634       -8.82287
1.74       -8.98027       -8.98027
1.75       -9       -9
1.76       -8.98027       -8.98027
1.77       -8.92115       -8.92115
1.78       -8.82287       -8.82287
1.79       -8.68583       -8.68583
1.8       -8.51057       -8.51057
1.81       -8.29776       -8.29776
1.82       -8.04827       -8.04827
1.83       -7.76307       -7.76307
1.84       -7.44328       -7.44328
1.85       -7.09017       -7.09017
1.86       -6.70513       -6.70513
1.87       -6.28969       -6.28969
1.88       -5.84547       -5.84547
1.89       -5.37424       -5.37424
1.9       -4.87785       -4.87785
1.91       -4.35827       -4.35827
1.92       -3.81754       -3.81754
1.93       -3.25779       -3.25779
1.94       -2.68125       -2.68125
1.95       -2.09017       -2.09017
1.96       -1.4869       -1.4869
1.97       -0.873813       -0.873813
1.98       -0.253332       -0.253332
1.99       1.11628       1.11628
2       1       1
2.01       1.62791       1.62791
2.02       2.25333       2.25333
2.03       2.87381       2.87381
2.04       3.4869       3.4869
2.05       4.09017       4.09017
2.06       4.68125       4.68125
2.07       5.25779       5.25779
2.08       5.81754       5.81754
2.09       6.35827       6.35827
2.1       6.87785       6.87785
2.11       7.37424       7.37424
2.12       23.5364       7.37424
2.13       8.28969       8.28969
2.14       8.70513       8.70513
2.15       9.09017       9.09017
2.16       9.44328       9.44328
2.17       9.76307       9.76307
2.18       10.0483       10.0483
2.19       10.2978       10.2978
2.2       10.5106       10.5106
2.21       10.6858       10.6858
2.22       10.8229       10.8229
2.23       10.9211       10.9211
2.24       10.9803       10.9803
2.25       11       11
2.26       10.9803       10.9803
2.27       54.6057       10.9803
2.28       10.8229       10.8229
2.29       10.6858       10.6858
2.3       42.0423       10.6858
2.31       10.2978       10.2978
2.32       10.0483       10.0483
2.33       9.76307       9.76307
2.34       9.44328       9.44328
2.35       9.09017       9.09017
2.36       8.70513       8.70513
2.37       8.28969       8.28969
2.38       7.84547       7.84547
2.39       7.37424       7.37424
2.4       6.87785       6.87785
2.41       6.35827       6.35827
2.42       5.81754       5.81754
2.43       5.25779       5.25779
2.44       4.68125       4.68125
2.45       4.09017       4.09017
2.46       3.4869       3.4869
2.47       2.87381       2.87381
2.48       2.25333       2.25333
2.49       1.62791       1.62791
2.5       1       1
2.51       0.372095       0.372095
2.52       -0.253332       -0.253332
2.53       -0.873813       -0.873813
2.54       -1.4869       -1.4869
2.55       -2.09017       -2.09017
2.56       -2.68125       -2.68125
2.57       -3.25779       -3.25779
2.58       -3.81754       -3.81754
2.59       -4.35827       -4.35827
2.6       -4.87785       -4.87785
2.61       -5.37424       -5.37424
2.62       -5.84547       -5.84547
2.63       -6.28969       -6.28969
2.64       -6.70513       -6.70513
2.65       -7.09017       -7.09017
2.66       -7.44328       -7.44328
2.67       -7.76307       -7.76307
2.68       -8.04827       -8.04827
2.69       -8.29776       -8.29776
2.7       -8.51057       -8.51057
2.71       -8.68583       -8.68583
2.72       -8.82287       -8.82287
2.73       -8.92115       -8.92115
2.74       -8.98027       -8.98027
2.75       -9       -9
2.76       -8.98027       -8.98027
2.77       -44.6057       -8.98027
2.78       -8.82287       -8.82287
2.79       -8.68583       -8.68583
2.8       -8.51057       -8.51057
2.81       -8.29776       -8.29776
2.82       -8.04827       -8.04827
2.83       -7.76307       -7.76307
2.84       -7.44328       -7.44328
2.85       -7.09017       -7.09017
2.86       -6.70513       -6.70513
2.87       -6.28969       -6.28969
2.88       -5.84547       -5.84547
2.89       -5.37424       -5.37424
2.9       -4.87785       -4.87785
2.91       -4.35827       -4.35827
2.92       -3.81754       -3.81754
2.93       -3.25779       -3.25779
2.94       -2.68125       -2.68125
2.95       -2.09017       -2.09017
2.96       -1.4869       -1.4869
2.97       -0.873813       -0.873813
2.98       -0.253332       -0.253332
2.99       0.372095       0.372095
3       1       1
3.01       1.62791       1.62791
3.02       2.25333       2.25333
3.03       2.87381       2.87381
3.04       3.4869       3.4869
3.05       4.09017       4.09017
3.06       18.725       18.725
3.07       5.25779       5.25779
3.08       5.81754       5.81754
3.09       6.35827       6.35827
3.1       6.87785       6.87785
3.11       7.37424       7.37424
3.12       7.84547       7.84547
3.13       8.28969       8.28969
3.14       34.8205       8.28969
3.15       9.09017       9.09017
3.16       47.2164       9.09017
3.17       9.76307       9.76307
3.18       10.0483       10.0483
3.19       10.2978       10.2978
3.2       10.5106       10.5106
3.21       10.6858       10.6858
3.22       10.8229       10.8229
3.23       10.9211       10.9211
3.24       10.9803       10.9803
3.25       11       11
3.26       10.9803       10.9803
3.27       10.9211       10.9211
3.28       10.8229       10.8229
3.29       10.6858       10.6858
3.3       10.5106       10.5106
3.31       10.2978       10.2978
3.32       10.0483       10.0483
3.33       9.76307       9.76307
3.34       9.44328       9.44328
3.35       9.09017       9.09017
3.36       8.70513       8.70513
3.37       33.1587       8.70513
3.38       7.84547       7.84547
3.39       7.37424       7.37424
3.4       6.87785       6.87785
3.41       6.35827       6.35827
3.42       5.81754       5.81754
3.43       5.25779       5.25779
3.44       4.68125       4.68125
3.45       4.09017       4.09017
3.46       3.4869       3.4869
3.47       2.87381       2.87381
3.48       2.25333       2.25333
3.49       1.62791       1.62791
3.5       1       1
3.51       0.372095       0.372095
3.52       -0.253332       -0.253332
3.53       -0.873813       -0.873813
3.54       -1.4869       -1.4869
3.55       -2.09017       -2.09017
3.56       -2.68125       -2.68125
3.57       -3.25779       -3.25779
3.58       -3.81754       -3.81754
3.59       -4.35827       -4.35827
3.6       -4.87785       -4.87785
3.61       -5.37424       -5.37424
3.62       -5.84547       -5.84547
3.63       -37.7381       -5.84547
3.64       -6.70513       -6.70513
3.65       -7.09017       -7.09017
3.66       -7.44328       -7.44328
3.67       -7.76307       -7.76307
3.68       -8.04827       -8.04827
3.69       -8.29776       -8.29776
3.7       -8.51057       -8.51057
3.71       -8.68583       -8.68583
3.72       -8.82287       -8.82287
3.73       -8.92115       -8.92115
3.74       -8.98027       -8.98027
3.75       -9       -9
3.76       -8.98027       -8.98027
3.77       -8.92115       -8.92115
3.78       -8.82287       -8.82287
3.79       -8.68583       -8.68583
3.8       -8.51057       -8.51057
3.81       -8.29776       -8.29776
3.82       -8.04827       -8.04827
3.83       -7.76307       -7.76307
3.84       -37.2164       -7.76307
3.85       -7.09017       -7.09017
3.86       -6.70513       -6.70513
3.87       -18.8691       -18.8691
3.88       -5.84547       -5.84547
3.89       -5.37424       -5.37424
3.9       -4.87785       -4.87785
3.91       -4.35827       -4.35827
3.92       -3.81754       -3.81754
3.93       -3.25779       -3.25779
3.94       -8.04374       -8.04374
3.95       -2.09017       -2.09017
3.96       -1.4869       -1.4869
3.97       -0.873813       -0.873813
3.98       -0.253332       -0.253332
3.99       0.372095       0.372095
4       1       1
4.01       1.62791       1.62791
4.02       2.25333       2.25333
4.03       2.87381       2.87381
4.04       20.9214       20.9214
4.05       4.09017       4.09017
4.06       4.68125       4.68125
4.07       5.25779       5.25779
4.08       5.81754       5.81754
4.09       6.35827       6.35827
4.1       6.87785       6.87785
4.11       7.37424       7.37424
4.12       7.84547       7.84547
4.13       8.28969       8.28969
4.14       43.5257       8.28969
4.15       9.09017       9.09017
4.16       9.44328       9.44328
4.17       9.76307       9.76307
4.18       10.0483       10.0483
4.19       10.2978       10.2978
4.2       10.5106       10.5106
4.21       10.6858       10.6858
4.22       64.9372       10.6858
4.23       10.9211       10.9211
4.24       10.9803       10.9803
4.25       11       11
4.26       10.9803       10.9803
4.27       10.9211       10.9211
4.28       10.8229       10.8229
4.29       10.6858       10.6858
4.3       10.5106       10.5106
4.31       10.2978       10.2978
4.32       10.0483       10.0483
4.33       9.76307       9.76307
4.34       9.44328       9.44328
4.35       27.2705       9.44328
4.36       8.70513       8.70513
4.37       8.28969       8.28969
4.38       7.84547       7.84547
4.39       7.37424       7.37424
4.4       6.87785       6.87785
4.41       6.35827       6.35827
4.42       5.81754       5.81754
4.43       5.25779       5.25779
4.44       4.68125       4.68125
4.45       4.09017       4.09017
4.46       3.4869       3.4869
4.47       2.87381       2.87381
4.48       2.25333       2.25333
4.49       1.62791       1.62791
4.5       1       1
4.51       0.372095       0.372095
4.52       -0.253332       -0.253332
4.53       -0.873813       -0.873813
4.54       -1.4869       -1.4869
4.55       -2.09017       -2.09017
4.56       -2.68125       -2.68125
4.57       -3.25779       -3.25779
4.58       -3.81754       -3.81754
4.59       -4.35827       -4.35827
4.6       -4.87785       -4.87785
4.61       -5.37424       -5.37424
4.62       -5.84547       -5.84547
4.63       -6.28969       -6.28969
4.64       -6.70513       -6.70513
4.65       -7.09017       -7.09017
4.66       -7.44328       -7.44328
4.67       -7.76307       -7.76307
4.68       -8.04827       -8.04827
4.69       -8.29776       -8.29776
4.7       -8.51057       -8.51057
4.71       -8.68583       -8.68583
4.72       -8.82287       -8.82287
4.73       -8.92115       -8.92115
4.74       -8.98027       -8.98027
4.75       -9       -9
4.76       -8.98027       -8.98027
4.77       -8.92115       -8.92115
4.78       -8.82287       -8.82287
4.79       -8.68583       -8.68583
4.8       -8.51057       -8.51057
4.81       -8.29776       -8.29776
4.82       -8.04827       -8.04827
4.83       -7.76307       -7.76307
4.84       -7.44328       -7.44328
4.85       -7.09017       -7.09017
4.86       -6.70513       -6.70513
4.87       -6.28969       -6.28969
4.88       -5.84547       -5.84547
4.89       -5.37424       -5.37424
4.9       -4.87785       -4.87785
4.91       -4.35827       -4.35827
4.92       -3.81754       -3.81754
4.93       -3.25779       -3.25779
4.94       -2.68125       -2.68125
4.95       -2.09017       -2.09017
4.96       -1.4869       -1.4869
4.97       -0.873813       -0.873813
4.98       -0.253332       -0.253332
4.99       0.372095       0.372095
5       1       1
5.01       1.62791       1.62791
5.02       2.25333       2.25333
5.03       2.87381       2.87381
5.04       3.4869       3.4869
5.05       4.09017       4.09017
5.06       4.68125       4.68125
5.07       5.25779       5.25779
5.08       5.81754       5.81754
5.09       6.35827       6.35827
5.1       6.87785       6.87785
5.11       7.37424       7.37424
5.12       7.84547       7.84547
5.13       8.28969       8.28969
5.14       8.70513       8.70513
5.15       9.09017       9.09017
5.16       9.44328       9.44328
5.17       9.76307       9.76307
5.18       10.0483       10.0483
5.19       10.2978       10.2978
5.2       10.5106       10.5106
5.21       10.6858       10.6858
5.22       10.8229       10.8229
5.23       10.9211       10.9211
5.24       10.9803       10.9803
5.25       11       11
5.26       10.9803       10.9803
5.27       10.9211       10.9211
5.28       10.8229       10.8229
5.29       10.6858       10.6858
5.3       10.5106       10.5106
5.31       10.2978       10.2978
5.32       10.0483       10.0483
5.33       9.76307       9.76307
5.34       9.44328       9.44328
5.35       9.09017       9.09017
5.36       8.70513       8.70513
5.37       8.28969       8.28969
5.38       7.84547       7.84547
5.39       7.37424       7.37424
5.4       6.87785       6.87785
5.41       31.7913       6.87785
5.42       5.81754       5.81754
5.43       5.25779       5.25779
5.44       4.68125       4.68125
5.45       4.09017       4.09017
5.46       3.4869       3.4869
5.47       2.87381       2.87381
5.48       2.25333       2.25333
5.49       1.62791       1.62791
5.5       1       1
5.51       0.372095       0.372095
5.52       -0.253332       -0.253332
5.53       -0.873813       -0.873813
5.54       -1.4869       -1.4869
5.55       -2.09017       -2.09017
5.56       -2.68125       -2.68125
5.57       -3.25779       -3.25779
5.58       -3.81754       -3.81754
5.59       -4.35827       -4.35827
5.6       -4.87785       -4.87785
5.61       -5.37424       -5.37424
5.62       -5.84547       -5.84547
5.63       -6.28969       -6.28969
5.64       -6.70513       -6.70513
5.65       -7.09017       -7.09017
5.66       -7.44328       -7.44328
5.67       -7.76307       -7.76307
5.68       -32.1931       -7.76307
5.69       -8.29776       -8.29776
5.7       -8.51057       -8.51057
5.71       -8.68583       -8.68583
5.72       -8.82287       -8.82287
5.73       -8.92115       -8.92115
5.74       -8.98027       -8.98027
5.75       -9       -9
5.76       -8.98027       -8.98027
5.77       -8.92115       -8.92115
5.78       -8.82287       -8.82287
5.79       -8.68583       -8.68583
5.8       -8.51057       -8.51057
5.81       -8.29776       -8.29776
5.82       -8.04827       -8.04827
5.83       -31.0523       -8.04827
5.84       -7.44328       -7.44328
5.85       -7.09017       -7.09017
5.86       -6.70513       -6.70513
5.87       -6.28969       -6.28969
5.88       -5.84547       -5.84547
5.89       -5.37424       -5.37424
5.9       -4.87785       -4.87785
5.91       -4.35827       -4.35827
5.92       -3.81754       -3.81754
5.93       -3.25779       -3.25779
5.94       -2.68125       -2.68125
5.95       -2.09017       -2.09017
5.96       -1.4869       -1.4869
5.97       -0.873813       -0.873813
5.98       -0.253332       -0.253332
5.99       0.372095       0.372095
6       1       1
6.01       1.62791       1.62791
6.02       2.25333       2.25333
6.03       2.87381       2.87381
6.04       3.4869       3.4869
6.05       4.09017       4.09017
6.06       4.68125       4.68125
6.07       5.25779       5.25779
6.08       5.81754       5.81754
6.09       6.35827       6.35827
6.1       6.87785       6.87785
6.11       7.37424       7.37424
6.12       7.84547       7.84547
6.13       8.28969       8.28969
6.14       8.70513       8.70513
6.15       9.09017       9.09017
6.16       9.44328       9.44328
6.17       9.76307       9.76307
6.18       10.0483       10.0483
6.19       10.2978       10.2978
6.2       10.5106       10.5106
6.21       10.6858       10.6858
6.22       10.8229       10.8229
6.23       10.9211       10.9211
6.24       10.9803       10.9803
6.25       11       11
6.26       10.9803       10.9803
6.27       10.9211       10.9211
6.28       10.8229       10.8229
6.29       10.6858       10.6858
6.3       10.5106       10.5106
6.31       10.2978       10.2978
6.32       10.0483       10.0483
6.33       9.76307       9.76307
6.34       9.44328       9.44328
6.35       9.09017       9.09017
6.36       8.70513       8.70513
6.37       8.28969       8.28969
6.38       7.84547       7.84547
6.39       7.37424       7.37424
6.4       6.87785       6.87785
6.41       6.35827       6.35827
6.42       5.81754       5.81754
6.43       5.25779       5.25779
6.44       4.68125       4.68125
6.45       4.09017       4.09017
6.46       3.4869       3.4869
6.47       2.87381       2.87381
6.48       2.25333       2.25333
6.49       1.62791       1.62791
6.5       4       4
6.51       0.372095       0.372095
6.52       -0.253332       -0.253332
6.53       -0.873813       -0.873813
6.54       -1.4869       -1.4869
6.55       -2.09017       -2.09017
6.56       -2.68125       -2.68125
6.57       -3.25779       -3.25779
6.58       -3.81754       -3.81754
6.59       -4.35827       -4.35827
6.6       -4.87785       -4.87785
6.61       -5.37424       -5.37424
6.62       -5.84547       -5.84547
6.63       -6.28969       -6.28969
6.64       -6.70513       -6.70513
6.65       -7.09017       -7.09017
6.66       -7.44328       -7.44328
6.67       -7.76307       -7.76307
6.68       -8.04827       -8.04827
6.69       -8.29776       -8.29776
6.7       -8.51057       -8.51057
6.71       -8.68583       -8.68583
6.72       -8.82287       -8.82287
6.73       -8.92115       -8.92115
6.74       -8.98027       -8.98027
6.75       -9       -9
6.76       -8.98027       -8.98027
6.77       -26.7634       -8.98027
6.78       -8.82287       -8.82287
6.79       -8.68583       -8.68583
6.8       -8.51057       -8.51057
6.81       -8.29776       -8.29776
6.82       -8.04827       -8.04827
6.83       -7.76307       -7.76307
6.84       -7.44328       -7.44328
6.85       -7.09017       -7.09017
6.86       -6.70513       -6.70513
6.87       -6.28969       -6.28969
6.88       -5.84547       -5.84547
6.89       -5.37424       -5.37424
6.9       -4.87785       -4.87785
6.91       -26.1496       -4.87785
6.92       -3.81754       -3.81754
6.93       -3.25779       -3.25779
6.94       -2.68125       -2.68125
6.95       -2.09017       -2.09017
6.96       -1.4869       -1.4869
6.97       -0.873813       -0.873813
6.98       -0.253332       -0.253332
6.99       0.372095       0.372095
7       1       1
7.01       1.62791       1.62791
7.02       2.25333       2.25333
7.03       2.87381       2.87381
7.04       3.4869       3.4869
7.05       4.09017       4.09017
7.06       4.68125       4.68125
7.07       5.25779       5.25779
7.08       5.81754       5.81754
7.09       6.35827       6.35827
7.1       6.87785       6.87785
7.11       7.37424       7.37424
7.12       7.84547       7.84547
7.13       8.28969       8.28969
7.14       8.70513       8.70513
7.15       9.09017       9.09017
7.16       9.44328       9.44328
7.17       9.76307       9.76307
7.18       10.0483       10.0483
7.19       10.2978       10.2978
7.2       10.5106       10.5106
7.21       10.6858       10.6858
7.22       10.8229       10.8229
7.23       10.9211       10.9211
7.24       10.9803       10.9803
7.25       11       11
7.26       10.9803       10.9803
7.27       10.9211       10.9211
7.28       10.8229       10.8229
7.29       10.6858       10.6858
7.3       10.5106       10.5106
7.31       10.2978       10.2978
7.32       10.0483       10.0483
7.33       9.76307       9.76307
7.34       9.44328       9.44328
7.35       9.09017       9.09017
7.36       8.70513       8.70513
7.37       8.28969       8.28969
7.38       7.84547       7.84547
7.39       7.37424       7.37424
7.4       20.6336       20.6336
7.41       6.35827       6.35827
7.42       5.81754       5.81754
7.43       5.25779       5.25779
7.44       4.68125       4.68125
7.45       4.09017       4.09017
7.46       3.4869       3.4869
7.47       2.87381       2.87381
7.48       2.25333       2.25333
7.49       1.62791       1.62791
7.5       1       1
7.51       0.372095       0.372095
7.52       -0.253332       -0.253332
7.53       -0.873813       -0.873813
7.54       -1.4869       -1.4869
7.55       -12.541       -12.541
7.56       -2.68125       -2.68125
7.57       -3.25779       -3.25779
7.58       -3.81754       -3.81754
7.59       -4.35827       -4.35827
7.6       -4.87785       -4.87785
7.61       -5.37424       -5.37424
7.62       -5.84547       -5.84547
7.63       -6.28969       -6.28969
7.64       -33.5257       -6.28969
7.65       -7.09017       -7.09017
7.66       -7.44328       -7.44328
7.67       -7.76307       -7.76307
7.68       -8.04827       -8.04827
7.69       -8.29776       -8.29776
7.7       -8.51057       -8.51057
7.71       -8.68583       -8.68583
7.72       -8.82287       -8.82287
7.73       -8.92115       -8.92115
7.74       -8.98027       -8.98027
7.75       -9       -9
7.76       -8.98027       -8.98027
7.77       -8.92115       -8.92115
7.78       -52.9372       -8.92115
7.79       -8.68583       -8.68583
7.8       -8.51057       -8.51057
7.81       -8.29776       -8.29776
7.82       -8.04827       -8.04827
7.83       -38.8153       -8.04827
7.84       -7.44328       -7.44328
7.85       -28.3607       -7.44328
7.86       -6.70513       -6.70513
7.87       -6.28969       -6.28969
7.88       -5.84547       -5.84547
7.89       -16.1227       -16.1227
7.9       -4.87785       -4.87785
7.91       -4.35827       -4.35827
7.92       -3.81754       -3.81754
7.93       -3.25779       -3.25779
7.94       -16.0875       -16.0875
7.95       -2.09017       -2.09017
7.96       -1.4869       -1.4869
7.97       -0.873813       -0.873813
7.98       -0.253332       -0.253332
7.99       0.372095       0.372095
8       1       1
8.01       1.62791       1.62791
8.02       2.25333       2.25333
8.03       2.87381       2.87381
8.04       3.4869       3.4869
8.05       4.09017       4.09017
8.06       4.68125       4.68125
8.07       5.25779       5.25779
8.08       5.81754       5.81754
8.09       6.35827       6.35827
8.1       6.87785       6.87785
8.11       7.37424       7.37424
8.12       7.84547       7.84547
8.13       8.28969       8.28969
8.14       8.70513       8.70513
8.15       54.541       8.70513
8.16       9.44328       9.44328
8.17       9.76307       9.76307
8.18       10.0483       10.0483
8.19       10.2978       10.2978
8.2       10.5106       10.5106
8.21       10.6858       10.6858
8.22       10.8229       10.8229
8.23       10.9211       10.9211
8.24       10.9803       10.9803
8.25       11       11
8.26       10.9803       10.9803
8.27       10.9211       10.9211
8.28       10.8229       10.8229
8.29       10.6858       10.6858
8.3       10.5106       10.5106
8.31       10.2978       10.2978
8.32       10.0483       10.0483
8.33       9.76307       9.76307
8.34       9.44328       9.44328
8.35       9.09017       9.09017
8.36       8.70513       8.70513
8.37       8.28969       8.28969
8.38       7.84547       7.84547
8.39       7.37424       7.37424
8.4       6.87785       6.87785
8.41       6.35827       6.35827
8.42       5.81754       5.81754
8.43       5.25779       5.25779
8.44       4.68125       4.68125
8.45       4.09017       4.09017
8.46       3.4869       3.4869
8.47       11.4953       11.4953
8.48       2.25333       2.25333
8.49       1.62791       1.62791
8.5       1       1
8.51       0.372095       0.372095
8.52       -0.253332       -0.253332
8.53       -0.873813       -0.873813
8.54       -1.4869       -1.4869
8.55       -2.09017       -2.09017
8.56       -2.68125       -2.68125
8.57       -3.25779       -3.25779
8.58       -3.81754       -3.81754
8.59       -4.35827       -4.35827
8.6       -4.87785       -4.87785
8.61       -5.37424       -5.37424
8.62       -5.84547       -5.84547
8.63       -188.691       -5.84547
8.64       -6.70513       -6.70513
8.65       -7.09017       -7.09017
8.66       -7.44328       -7.44328
8.67       -7.76307       -7.76307
8.68       -8.04827       -8.04827
8.69       -8.29776       -8.29776
8.7       -8.51057       -8.51057
8.71       -8.68583       -8.68583
8.72       -8.82287       -8.82287
8.73       -8.92115       -8.92115
8.74       -8.98027       -8.98027
8.75       -9       -9
8.76       -8.98027       -8.98027
8.77       -8.92115       -8.92115
8.78       -8.82287       -8.82287
8.79       -8.68583       -8.68583
8.8       -8.51057       -8.51057
8.81       -8.29776       -8.29776
8.82       -8.04827       -8.04827
8.83       -7.76307       -7.76307
8.84       -7.44328       -7.44328
8.85       -7.09017       -7.09017
8.86       -6.70513       -6.70513
8.87       -6.28969       -6.28969
8.88       -5.84547       -5.84547
8.89       -5.37424       -5.37424
8.9       -4.87785       -4.87785
8.91       -4.35827       -4.35827
8.92       -3.81754       -3.81754
8.93       -3.25779       -3.25779
8.94       -2.68125       -2.68125
8.95       -2.09017       -2.09017
8.96       -1.4869       -1.4869
8.97       -0.873813       -0.873813
8.98       -0.253332       -0.253332
8.99       0.372095       0.372095
9       1       1
9.01       1.62791       1.62791
9.02       2.25333       2.25333
9.03       2.87381       2.87381
9.04       3.4869       3.4869
9.05       4.09017       4.09017
9.06       4.68125       4.68125
9.07       5.25779       5.25779
9.08       5.81754       5.81754
9.09       6.35827       6.35827
9.1       6.87785       6.87785
9.11       7.37424       7.37424
9.12       7.84547       7.84547
9.13       8.28969       8.28969
9.14       8.70513       8.70513
9.15       9.09017       9.09017
9.16       9.44328       9.44328
9.17       9.76307       9.76307
9.18       10.0483       10.0483
9.19       10.2978       10.2978
9.2       10.5106       10.5106
9.21       10.6858       10.6858
9.22       10.8229       10.8229
9.23       10.9211       10.9211
9.24       10.9803       10.9803
9.25       11       11
9.26       10.9803       10.9803
9.27       10.9211       10.9211
9.28       10.8229       10.8229
9.29       10.6858       10.6858
9.3       52.5528       10.6858
9.31       10.2978       10.2978
9.32       10.0483       10.0483
9.33       29.2892       10.0483
9.34       9.44328       9.44328
9.35       9.09017       9.09017
9.36       8.70513       8.70513
9.37       8.28969       8.28969
9.38       7.84547       7.84547
9.39       7.37424       7.37424
9.4       6.87785       6.87785
9.41       6.35827       6.35827
9.42       5.81754       5.81754
9.43       5.25779       5.25779
9.44       4.68125       4.68125
9.45       4.09017       4.09017
9.46       3.4869       3.4869
9.47       2.87381       2.87381
9.48       2.25333       2.25333
9.49       1.62791       1.62791
9.5       1       1
9.51       0.372095       0.372095
